step,L2_loss,H1_loss,H2_loss,max_cond_L2,max_cond_H1,max_cond_H2
0,49.23956669788646,525.5728886270877,5321.9511709648905,47623.54613627785,141789.52544608322,82562.04376067141
1,50.39289198161786,513.2248301569912,5421.94371427909,47623.54613627785,141789.52544608322,82562.04376067141
2,47.763931891727744,534.4101514536316,5187.0032025334785,47623.54613627785,141789.52544608322,82562.04376067141
3,48.55150685462184,525.3061762145036,5254.554740695668,47623.54613627785,141789.52544608322,82562.04376067141
4,47.80271983221702,529.8007767744637,5185.941114811935,47623.54613627785,141789.52544608322,82562.04376067141
5,46.92147896996684,535.3766666125744,5105.558717139434,47623.54613627785,141789.52544608322,82562.04376067141
6,47.70680790255888,526.6168095808774,5173.108189500687,47623.54613627785,141789.52544608322,82562.04376067141
7,47.330676927207186,527.5360354840092,5137.160124984345,47623.54613627785,141789.52544608322,82562.04376067141
8,48.892848124569696,511.9705158287216,5273.5605521755615,47623.54613627785,141789.52544608322,82562.04376067141
9,48.17495102342435,516.3127284067419,5207.591415951756,47623.54613627785,141789.52544608322,82562.04376067141
10,47.27124378308543,522.2993785751781,5125.259335231675,47623.54613627785,141789.52544608322,82562.04376067141
11,48.37251950034184,510.77843663445253,5220.6206099176925,47623.54613627785,141789.52544608322,82562.04376067141
12,47.92945480853498,512.7054091187307,5178.858567300564,47623.54613627785,141789.52544608322,82562.04376067141
13,47.589689081369386,513.0572329568762,5145.90904120351,47623.54613627785,141789.52544608322,82562.04376067141
14,46.18720424511275,524.4824249514472,5019.799169847807,47623.54613627785,141789.52544608322,82562.04376067141
15,46.66601862372145,517.3625100070586,5059.496663591771,47623.54613627785,141789.52544608322,82562.04376067141
16,48.07287514916606,502.7189671295726,5180.992067265785,47623.54613627785,141789.52544608322,82562.04376067141
17,47.629623812597664,504.9893952134628,5139.638663827158,47623.54613627785,141789.52544608322,82562.04376067141
18,46.884075031007946,510.2077332022348,5071.40654220952,47623.54613627785,141789.52544608322,82562.04376067141
19,47.16558089966812,505.11074712159905,5092.786766664014,47623.54613627785,141789.52544608322,82562.04376067141
20,46.81004261185246,506.0282165360848,5058.404354883912,47623.54613627785,141789.52544608322,82562.04376067141
21,46.43252702747896,507.97548356755453,5023.281338367559,47623.54613627785,141789.52544608322,82562.04376067141
22,45.48766262630341,514.1309545426126,4936.114619119183,47623.54613627785,141789.52544608322,82562.04376067141
23,47.263813372712285,497.39941287806016,5092.454575386548,47623.54613627785,141789.52544608322,82562.04376067141
24,47.0788967525491,495.9154939449943,5070.865187674576,47623.54613627785,141789.52544608322,82562.04376067141
25,46.140621080445136,502.5270167080687,4986.949215773888,47623.54613627785,141789.52544608322,82562.04376067141
26,46.88989140192374,494.15751552315794,5049.833642336811,47623.54613627785,141789.52544608322,82562.04376067141
27,45.91096611377356,501.1064314442822,4959.903212370509,47623.54613627785,141789.52544608322,82562.04376067141
28,46.539022027279316,493.583807418617,5013.585188255036,47623.54613627785,141789.52544608322,82562.04376067141
29,44.74613532081953,507.5875600334143,4850.851179598078,47623.54613627785,141789.52544608322,82562.04376067141
30,45.86553201881064,495.10321506867945,4948.454139649155,47623.54613627785,141789.52544608322,82562.04376067141
31,44.048955740548784,509.46830588105513,4781.513258112143,47623.54613627785,141789.52544608322,82562.04376067141
